1
 ESATAN-TMS  2025                                                      Page     1
 17 February  2026  11:08:16                              DRAGOSAT_V2_EXEC_ESATAN





  TIMEN =      0.00      MODULE SOLVFM      LOOPCT =    29
 ENBALA = 1.218E-02      ENBALR = 6.E-05


 TABLE OUTPUT WITH ZENTS = 'L,T,QS,QE,QA,QI,C'
 FOR NODES OF ZLABEL = ' '

 ================================================================================


+DRAGOSAT_V2_EXEC_ESATAN                                                         


          NODE   LABEL                              T             QS            

          665    MLI                              64.47          0.00
        10000    Body_Panel                       63.30          0.00
        10001    Body_Panel                       63.31          0.00
        10002    Body_Panel                       63.32          0.00
        10003    Body_Panel                       63.32          0.00
        10004    Body_Panel                       63.31          0.00
        10005    Body_Panel                       63.31          0.00
        10006    Body_Panel                       63.32          0.00
        10007    Body_Panel                       63.33          0.00
        10008    Body_Panel                       63.33          0.00
        10009    Body_Panel                       63.31          0.00
        10010    Body_Panel                       63.30          0.00
        10011    Body_Panel                       63.31          0.00
        10012    Body_Panel                       63.32          0.00
        10013    Body_Panel                       63.32          0.00
        10014    Body_Panel                       63.30          0.00
        10015    Body_Panel                       63.27          0.00
        10016    Body_Panel                       63.28          0.00
        10017    Body_Panel                       63.29          0.00
        10018    Body_Panel                       63.29          0.00
        10019    Body_Panel                       63.28          0.00
        10020    Body_Panel                       63.25          0.00
        10021    Body_Panel                       63.26          0.00
        10022    Body_Panel                       63.27          0.00
        10023    Body_Panel                       63.27          0.00
        10024    Body_Panel                       63.26          0.00
        10100    Body_Panel                       60.49          0.00
        10101    Body_Panel                       60.11          0.00
        10102    Body_Panel                       59.59          0.00
        10103    Body_Panel                       60.02          0.00
        10104    Body_Panel                       60.34          0.00
        10105    Body_Panel                       60.61          0.00
        10106    Body_Panel                       60.16          0.00
        10107    Body_Panel                       59.23          0.00
        10108    Body_Panel                       60.06          0.00
        10109    Body_Panel                       60.45          0.00
        10110    Body_Panel                       60.65          0.00
        10111    Body_Panel                       60.06          0.00
        10112    Body_Panel                       58.22          0.00
        10113    Body_Panel                       59.93          0.00
        10114    Body_Panel                       60.44          0.00
        10115    Body_Panel                       60.89          0.00
        10116    Body_Panel                       60.37          0.00
        10117    Body_Panel                       59.31          0.00
        10118    Body_Panel                       60.20          0.00
        10119    Body_Panel                       60.60          0.00
        10120    Body_Panel                       60.73          0.00
        10121    Body_Panel                       60.30          0.00
        10122    Body_Panel                       59.69          0.00
        10123    Body_Panel                       60.15          0.00
        10124    Body_Panel                       60.48          0.00
        10300    Body_Panel                       62.63          0.00
        10301    Body_Panel                       62.63          0.00
        10302    Body_Panel                       62.64          0.00
        10303    Body_Panel                       62.63          0.00
        10304    Body_Panel                       62.62          0.00
        10305    Body_Panel                       62.63          0.00
        10306    Body_Panel                       62.64          0.00
        10307    Body_Panel                       62.64          0.00
        10308    Body_Panel                       62.64          0.00
        10309    Body_Panel                       62.62          0.00
        10310    Body_Panel                       62.62          0.00
        10311    Body_Panel                       62.63          0.00
        10312    Body_Panel                       62.63          0.00
        10313    Body_Panel                       62.63          0.00
        10314    Body_Panel                       62.61          0.00
        10315    Body_Panel                       62.60          0.00
        10316    Body_Panel                       62.60          0.00
        10317    Body_Panel                       62.60          0.00
        10318    Body_Panel                       62.60          0.00
        10319    Body_Panel                       62.59          0.00
        10320    Body_Panel                       62.58          0.00
        10321    Body_Panel                       62.59          0.00
        10322    Body_Panel                       62.59          0.00
        10323    Body_Panel                       62.58          0.00
        10324    Body_Panel                       62.58          0.00
        10400    Body_Panel                       60.09          0.00
        10401    Body_Panel                       59.86          0.00
        10402    Body_Panel                       59.53          0.00
        10403    Body_Panel                       60.02          0.00
        10404    Body_Panel                       60.36          0.00
        10405    Body_Panel                       60.16          0.00
        10406    Body_Panel                       59.90          0.00
        10407    Body_Panel                       59.21          0.00
        10408    Body_Panel                       60.07          0.00
        10409    Body_Panel                       60.47          0.00
        10410    Body_Panel                       60.03          0.00
        10411    Body_Panel                       59.73          0.00
        10412    Body_Panel                       58.31          0.00
        10413    Body_Panel                       59.95          0.00
        10414    Body_Panel                       60.45          0.00
        10415    Body_Panel                       59.98          0.00
        10416    Body_Panel                       59.93          0.00
        10417    Body_Panel                       59.45          0.00
        10418    Body_Panel                       60.19          0.00
        10419    Body_Panel                       60.59          0.00
        10420    Body_Panel                       59.96          0.00
        10421    Body_Panel                       59.88          0.00
        10422    Body_Panel                       59.68          0.00
        10423    Body_Panel                       60.14          0.00
        10424    Body_Panel                       60.47          0.00
        10500    Body_Panel                       54.62          0.00
        10501    Body_Panel                       54.58          0.00
        10502    Body_Panel                       54.56          0.00
        10503    Body_Panel                       54.58          0.00
        10504    Body_Panel                       54.62          0.00
        10505    Body_Panel                       54.55          0.00
        10506    Body_Panel                       54.44          0.00
        10507    Body_Panel                       54.41          0.00
        10508    Body_Panel                       54.44          0.00
        10509    Body_Panel                       54.55          0.00
        10510    Body_Panel                       54.52          0.00
        10511    Body_Panel                       54.41          0.00
        10512    Body_Panel                       54.39          0.00
        10513    Body_Panel                       54.40          0.00
        10514    Body_Panel                       54.50          0.00
        10515    Body_Panel                       54.54          0.00
        10516    Body_Panel                       54.43          0.00
        10517    Body_Panel                       54.40          0.00
        10518    Body_Panel                       54.41          0.00
        10519    Body_Panel                       54.49          0.00
        10520    Body_Panel                       54.61          0.00
        10521    Body_Panel                       54.56          0.00
        10522    Body_Panel                       54.53          0.00
        10523    Body_Panel                       54.52          0.00
        10524    Body_Panel                       54.55          0.00
        10600    Body_Panel                       61.46          0.00
        10601    Body_Panel                       61.46          0.00
        10602    Body_Panel                       61.46          0.00
        10603    Body_Panel                       61.47          0.00
        10604    Body_Panel                       61.46          0.00
        10605    Body_Panel                       61.43          0.00
        10606    Body_Panel                       61.44          0.00
        10607    Body_Panel                       61.47          0.00
        10608    Body_Panel                       61.46          0.00
        10609    Body_Panel                       61.43          0.00
        10610    Body_Panel                       61.44          0.00
        10611    Body_Panel                       61.47          0.00
        10612    Body_Panel                       61.46          0.00
        10613    Body_Panel                       61.46          0.00
        10614    Body_Panel                       61.46          0.00
        10615    Body_Panel                       61.47          0.00
        10650    Body_Inf                         61.46          0.00
        10651    Body_Inf                         61.46          0.00
        10652    Body_Inf                         61.46          0.00
        10653    Body_Inf                         61.47          0.00
        10654    Body_Inf                         61.46          0.00
        10655    Body_Inf                         61.44          0.00
        10656    Body_Inf                         61.44          0.00
        10657    Body_Inf                         61.47          0.00
        10658    Body_Inf                         61.46          0.00
        10659    Body_Inf                         61.43          0.00
        10660    Body_Inf                         61.44          0.00
        10661    Body_Inf                         61.46          0.00
        10662    Body_Inf                         61.46          0.00
        10663    Body_Inf                         61.46          0.00
        10664    Body_Inf                         61.46          0.00
        10665    Body_Inf                         61.47          0.00
        11000    BODY_TRAY                        62.51          0.00
        11001    BODY_TRAY                        62.73          0.00
        11002    BODY_TRAY                        62.73          0.00
        11003    BODY_TRAY                        62.44          0.00
        11004    BODY_TRAY                        62.54          0.00
        11005    BODY_TRAY                        62.78          0.00
        11006    BODY_TRAY                        62.82          0.00
        11007    BODY_TRAY                        62.49          0.00
        11008    BODY_TRAY                        62.49          0.00
        11009    BODY_TRAY                        62.75          0.00
        11010    BODY_TRAY                        62.78          0.00
        11011    BODY_TRAY                        62.44          0.00
        11012    BODY_TRAY                        62.34          0.00
        11013    BODY_TRAY                        62.61          0.00
        11014    BODY_TRAY                        62.62          0.00
        11015    BODY_TRAY                        62.33          0.00
        11100    BODY_TRAY                        66.23          0.00
        11101    BODY_TRAY                        66.43          0.00
        11102    BODY_TRAY                        65.99          0.00
        11103    BODY_TRAY                        65.28          0.00
        11104    BODY_TRAY                        66.81          0.00
        11105    BODY_TRAY                        66.97          0.00
        11106    BODY_TRAY                        66.29          0.00
        11107    BODY_TRAY                        65.44          0.00
        11108    BODY_TRAY                        68.09          0.00
        11109    BODY_TRAY                        68.17          0.00
        11110    BODY_TRAY                        66.73          0.00
        11111    BODY_TRAY                        65.69          0.00
        11112    BODY_TRAY                        68.45          0.00
        11113    BODY_TRAY                        68.48          0.00
        11114    BODY_TRAY                        66.95          0.00
        11115    BODY_TRAY                        65.84          0.00
        20000    SPS_STR                          47.93          1.18
        20001    SPS_STR                          47.93          0.62
        20002    SPS_STR                          47.93          0.61
        20003    SPS_STR                          47.93          1.18
        20004    SPS_STR                          48.12          0.81
        20005    SPS_STR                          48.11          0.00
        20006    SPS_STR                          48.11          0.00
        20007    SPS_STR                          48.12          0.80
        20008    SPS_STR                          48.57          0.81
        20009    SPS_STR                          48.56          0.00
        20010    SPS_STR                          48.56          0.00
        20011    SPS_STR                          48.57          0.82
        20012    SPS_STR                          49.34          0.81
        20013    SPS_STR                          49.34          0.01
        20014    SPS_STR                          49.34          0.01
        20015    SPS_STR                          49.34          0.80
        20016    SPS_STR                          50.27          0.82
        20017    SPS_STR                          50.32          0.02
        20018    SPS_STR                          50.32          0.02
        20019    SPS_STR                          50.27          0.83
        20020    SPS_STR                          51.20          1.22
        20021    SPS_STR                          51.58          0.66
        20022    SPS_STR                          51.58          0.67
        20023    SPS_STR                          51.20          1.24
        20100    SPS_STR                          50.56          1.15
        20101    SPS_STR                          50.97          0.62
        20102    SPS_STR                          50.98          0.64
        20103    SPS_STR                          50.56          1.16
        20104    SPS_STR                          49.63          0.81
        20105    SPS_STR                          49.68          0.00
        20106    SPS_STR                          49.68          0.00
        20107    SPS_STR                          49.63          0.80
        20108    SPS_STR                          48.72          0.79
        20109    SPS_STR                          48.72          0.00
        20110    SPS_STR                          48.72          0.00
        20111    SPS_STR                          48.72          0.81
        20112    SPS_STR                          47.96          0.80
        20113    SPS_STR                          47.95          0.00
        20114    SPS_STR                          47.95          0.00
        20115    SPS_STR                          47.96          0.81
        20116    SPS_STR                          47.51          0.80
        20117    SPS_STR                          47.51          0.00
        20118    SPS_STR                          47.51          0.00
        20119    SPS_STR                          47.52          0.81
        20120    SPS_STR                          47.33          1.17
        20121    SPS_STR                          47.32          0.58
        20122    SPS_STR                          47.32          0.59
        20123    SPS_STR                          47.33          1.18
        21000    SPS_CELL                         48.21          0.81
        21001    SPS_CELL                         48.40          0.81
        21002    SPS_CELL                         48.81          0.81
        21003    SPS_CELL                         49.57          0.81
        21004    SPS_CELL                         50.40          0.81
        21005    SPS_CELL                         51.26          0.82
        21006    SPS_CELL                         48.20          0.81
        21007    SPS_CELL                         48.40          0.81
        21008    SPS_CELL                         48.80          0.81
        21009    SPS_CELL                         49.57          0.81
        21010    SPS_CELL                         50.43          0.81
        21011    SPS_CELL                         51.42          0.82
        21012    SPS_CELL                         48.20          0.81
        21013    SPS_CELL                         48.40          0.81
        21014    SPS_CELL                         48.80          0.81
        21015    SPS_CELL                         49.57          0.81
        21016    SPS_CELL                         50.44          0.81
        21017    SPS_CELL                         51.48          0.82
        21018    SPS_CELL                         48.20          0.81
        21019    SPS_CELL                         48.40          0.81
        21020    SPS_CELL                         48.80          0.81
        21021    SPS_CELL                         49.57          0.81
        21022    SPS_CELL                         50.44          0.81
        21023    SPS_CELL                         51.48          0.82
        21024    SPS_CELL                         48.20          0.81
        21025    SPS_CELL                         48.40          0.81
        21026    SPS_CELL                         48.80          0.81
        21027    SPS_CELL                         49.57          0.81
        21028    SPS_CELL                         50.43          0.81
        21029    SPS_CELL                         51.42          0.82
        21030    SPS_CELL                         48.21          0.81
        21031    SPS_CELL                         48.40          0.81
        21032    SPS_CELL                         48.81          0.81
        21033    SPS_CELL                         49.57          0.81
        21034    SPS_CELL                         50.40          0.81
        21035    SPS_CELL                         51.26          0.82
        21100    SPS_CELL                         50.61          0.81
        21101    SPS_CELL                         49.76          0.81
        21102    SPS_CELL                         48.95          0.81
        21103    SPS_CELL                         48.20          0.81
        21104    SPS_CELL                         47.80          0.81
        21105    SPS_CELL                         47.61          0.81
        21106    SPS_CELL                         50.78          0.81
        21107    SPS_CELL                         49.79          0.81
        21108    SPS_CELL                         48.95          0.81
        21109    SPS_CELL                         48.19          0.81
        21110    SPS_CELL                         47.79          0.81
        21111    SPS_CELL                         47.60          0.81
        21112    SPS_CELL                         50.84          0.81
        21113    SPS_CELL                         49.80          0.81
        21114    SPS_CELL                         48.95          0.81
        21115    SPS_CELL                         48.19          0.81
        21116    SPS_CELL                         47.79          0.81
        21117    SPS_CELL                         47.60          0.81
        21118    SPS_CELL                         50.84          0.81
        21119    SPS_CELL                         49.80          0.81
        21120    SPS_CELL                         48.95          0.81
        21121    SPS_CELL                         48.19          0.81
        21122    SPS_CELL                         47.79          0.81
        21123    SPS_CELL                         47.60          0.81
        21124    SPS_CELL                         50.78          0.81
        21125    SPS_CELL                         49.79          0.81
        21126    SPS_CELL                         48.95          0.81
        21127    SPS_CELL                         48.19          0.81
        21128    SPS_CELL                         47.79          0.81
        21129    SPS_CELL                         47.60          0.81
        21130    SPS_CELL                         50.61          0.81
        21131    SPS_CELL                         49.76          0.81
        21132    SPS_CELL                         48.94          0.81
        21133    SPS_CELL                         48.20          0.81
        21134    SPS_CELL                         47.80          0.81
        21135    SPS_CELL                         47.60          0.81
        30100    IR_CAM_STR                       42.09          0.07
        30101    IR_CAM_STR                       42.24          0.10
        30102    IR_CAM_STR                       50.85          0.02
        30103    IR_CAM_STR                       50.87          0.03
        31000    IR_CAM_ELECT                     79.27          0.00
        31001    IR_CAM_ELECT                     66.60          0.00
        31002    IR_CAM_ELECT                     66.85          0.00
        31003    IR_CAM_ELECT                     66.59          0.00
        31004    IR_CAM_ELECT                     66.77          0.00
        31005    IR_CAM_ELECT                     51.65          0.00
        31100    IR_CAM_ELECT                      0.00          0.00
        32000    IR_CAM_LENS                     101.91          0.14
        40000    INS_EB                           54.54          0.00
        40001    INS_EB                           61.42          0.00
        40002    INS_EB                           62.53          0.00
        40003    INS_EB                           61.60          0.00
        40004    INS_EB                           61.36          0.00
        40005    INS_EB                           70.15          0.00
        40100    IR_EB                            72.99          0.00
        41000    INS_PLD_1                        76.72          0.00
        41001    INS_PLD_1                        74.13          0.00
        41002    INS_PLD_1                        73.35          0.00
        41003    INS_PLD_1                        76.52          0.00
        41004    INS_PLD_1                        73.07          0.00
        41005    INS_PLD_1                        62.91          0.00
        42000    INS_PLD_2                        78.62          0.00
        42001    INS_PLD_2                        79.63          0.00
        42002    INS_PLD_2                        77.98          0.00
